"","ID","effect_size","P_value"
"1","Prot0",-0.939034302025192,0.00389349492752792
"2","Prot1",-1.13001114044669,0.000458819625029118
"3","Prot2",-1.61454125848808,4.06106877177554e-07
"4","Prot3",-1.63667760033814,4.18797849554615e-07
"5","Prot4",-1.57271194723032,4.02075198259775e-06
"6","Prot5",-1.24941621063465,0.000376713104578208
"7","Prot6",-1.27037416885251,8.48863122472635e-05
"8","Prot7",-1.74290370063867,1.88896576055919e-07
"9","Prot8",-1.66854113088776,7.48804035009173e-07
"10","Prot9",-1.0996919956264,0.000519679942190739
"11","Prot10",-1.16596801058569,0.000220678158389533
"12","Prot11",-1.3164648393328,2.73844344864652e-05
"13","Prot12",-0.984361825372993,0.00263901579510053
"14","Prot13",-1.65499312493016,2.79814537379978e-06
"15","Prot14",-1.31073670691118,7.45197592539208e-05
"16","Prot15",-1.32038890505791,0.000114534557119295
"17","Prot16",-1.3125093381447,2.45298363238614e-05
"18","Prot17",-1.32164400656975,3.21277087377941e-05
"19","Prot18",-1.26658031602762,6.86559265539414e-05
"20","Prot19",-0.990254974581671,0.00180796045326153
"21","Prot20",-1.33873499211065,4.60803432705026e-05
"22","Prot21",-1.86546075763991,4.04178726622684e-08
"23","Prot22",-1.2504848841032,6.23552944427199e-05
"24","Prot23",-1.24807653837329,0.000111146862537368
"25","Prot24",-1.41749245476298,6.56056847275846e-06
"26","Prot25",-1.30088718257439,0.000158319507558806
"27","Prot26",-0.969614624023972,0.0026456169504755
"28","Prot27",-0.691053376212615,0.0460667542059013
"29","Prot28",-1.45185835964481,1.02633797108633e-05
"30","Prot29",-0.19903877039177,0.541460562985393
"31","Prot30",-1.20644923015239,0.000242674840536941
"32","Prot31",-1.28742941067654,5.48683799830068e-05
"33","Prot32",-1.53643439208175,7.82488409890134e-07
"34","Prot33",-0.942893563049221,0.004931303879039
"35","Prot34",-1.23281211675519,0.000788194511591049
"36","Prot35",-1.00390347488104,0.0023854326465972
"37","Prot36",-1.39021964679907,1.30764607354696e-05
"38","Prot37",-1.36510343726466,4.54669764912861e-05
"39","Prot38",-1.43759884402632,9.61250993025814e-06
"40","Prot39",-1.48746331490802,1.27027592499749e-05
"41","Prot40",-1.72910594426981,3.91950545475444e-07
"42","Prot41",-0.83938511231495,0.0119442997613774
"43","Prot42",-1.18708689768355,0.00090914519181294
"44","Prot43",-1.18600581196332,0.000776078460066249
"45","Prot44",-1.18211922261246,0.000775061688606237
"46","Prot45",-0.874869338500122,0.0082241697374244
"47","Prot46",-1.36840258227254,2.91543411253862e-05
"48","Prot47",-1.48395790327375,1.07882960838597e-05
"49","Prot48",-1.30857035043893,9.22264284358656e-05
"50","Prot49",-1.05018799575827,0.00156918916099608
"51","Prot50",-1.23169742799211,5.73714117950286e-05
"52","Prot51",-1.47621961193786,7.33527465149207e-06
"53","Prot52",-0.992049321157442,0.00175289827489247
"54","Prot53",-0.926340697873364,0.00410350818795377
"55","Prot54",-0.773649077042865,0.030021558645043
"56","Prot55",-1.06096289734051,0.000534597345798433
"57","Prot56",-1.53182975524776,9.6369137595557e-06
"58","Prot57",-1.44777547393716,4.04646627039574e-05
"59","Prot58",-0.63967568981138,0.0344665381297518
"60","Prot59",-1.3562341684593,0.000138599675368755
"61","Prot60",-1.12841561866924,0.000232715047694251
"62","Prot61",-1.3238884189311,7.66013837744212e-05
"63","Prot62",-0.603495241467158,0.0474478639789727
"64","Prot63",-1.6747347474278,3.87605911649495e-06
"65","Prot64",-0.809534671320971,0.00746442095364448
"66","Prot65",-1.36536259622189,3.44086525346388e-05
"67","Prot66",-1.26285814472703,0.00017849298087936
"68","Prot67",-1.15375956085866,0.000241254308222715
"69","Prot68",-0.807594972657377,0.0755857057895301
"70","Prot69",-1.43069776543423,4.53048599733367e-05
"71","Prot70",-0.410925411672764,0.206400669247315
"72","Prot71",-1.84295532641294,5.01408276900708e-08
"73","Prot72",-0.687332052745962,0.0314379003053933
"74","Prot73",-1.3572318395152,2.76597632182901e-05
"75","Prot74",-1.20751496855447,0.000528463106288388
"76","Prot75",-1.28980811766909,5.96236600214698e-05
"77","Prot76",-1.15874259104051,0.0015108350947573
"78","Prot77",-1.16811993520885,0.00026664138534575
"79","Prot78",-1.83375195425032,1.95700214421181e-08
"80","Prot79",-0.784387388074389,0.0148411156791888
"81","Prot80",-1.4469282350171,1.15700121425062e-05
"82","Prot81",-1.3391142748756,2.02684246722628e-05
"83","Prot82",-0.92928203590834,0.0076080442465634
"84","Prot83",-0.997611556366255,0.00133596803037268
"85","Prot84",-1.49429960784841,1.56288155460999e-06
"86","Prot85",-1.28849267524285,3.24943650916739e-05
"87","Prot86",-1.22121183343719,0.000310244696365316
"88","Prot87",-1.38749011816854,3.12935448986868e-05
"89","Prot88",-1.55909078135184,5.60259640299965e-06
"90","Prot89",-1.0074080079903,0.00158944294575879
"91","Prot90",-1.03996242577283,0.00167314198845617
"92","Prot91",-1.28181419113402,8.39284881731853e-05
